ID,Rating,Rarity,Element,Name,Series,2nd Series,Weapon,2nd Weapon,Race,2nd Race,Type,HP,ATK,VA,URL
4284,9.2,SSR,Fire,Abby,Permanent,-,Axe,-,Human,-,Attack,1100,10500,Emiri Katō,https://gbf.wiki/Abby
3011,7.0,SR,Fire,Abby (Promo),Permanent,-,Axe,-,Human,-,Attack,800,6000,Emiri Katō,https://gbf.wiki/Abby_(Promo)
4432,9.4,SSR,Earth,Adam,Permanent,-,Sabre,-,Other,-,Defense,2016,6720,Tarusuke Shingaki,https://gbf.wiki/Adam
4017,9.7,SSR,Fire,Agielba,Permanent,-,Sabre,-,Draph,-,Defense,2110,7920,Unshō Ishizuka / Kōji Ishii,https://gbf.wiki/Agielba
4192,9.1,SSR,Water,Aglovale,Permanent,-,Sabre,-,Human,-,Attack,1220,10030,Tatsuhisa Suzuki,https://gbf.wiki/Aglovale
4322,9.7,SSR,Light,Aglovale (Valentine),Valentine,-,Sabre,-,Human,-,Attack,1220,9900,Tatsuhisa Suzuki,https://gbf.wiki/Aglovale_(Valentine)
4545,9.8,SSR,Fire,Aglovale (Yukata),Yukata,-,Sabre,-,Human,-,Attack,1220,9900,Tatsuhisa Suzuki,https://gbf.wiki/Aglovale_(Yukata)
4426,9.2,SSR,Earth,Aglovale and Tor,Permanent,-,Sabre,-,Human,-,Special,1500,7900,"Tatsuhisa Suzuki,Atsushi Tamaru",https://gbf.wiki/Aglovale_and_Tor
3121,7.0,SR,Earth,Airi Totoki,Tie-In / Collab,-,Sabre,-,Human,-,Defense,1200,4500,Hitomi Harada,https://gbf.wiki/Airi_Totoki
4167,,SSR,Fire,Alanaan,Evoker,-,Staff,-,Erune,-,Attack,1319,9705,Ryūzaburō Ōtomo,https://gbf.wiki/Alanaan
4045,9.6,SSR,Light,Albert,Permanent,-,Sabre,-,Human,-,Attack,1280,4800,Hikaru Midorikawa,https://gbf.wiki/Albert
4334,9.5,SSR,Dark,Albert (Dark),Permanent,-,Sabre,-,Human,-,Attack,945,11275,Hikaru Midorikawa,https://gbf.wiki/Albert_(Dark)
3177,7.5,SR,Light,Albert (Event),Permanent,-,Sabre,-,Human,-,Balanced,1240,3150,Hikaru Midorikawa,https://gbf.wiki/Albert_(Event)
4290,9.2,SSR,Wind,Albert (Summer),Summer,-,Sabre,-,Human,-,Attack,1210,9950,Hikaru Midorikawa,https://gbf.wiki/Albert_(Summer)
3003,7.0,SR,Fire,Alec,Permanent,-,Melee,-,Human,-,Attack,900,7500,Megumi Han,https://gbf.wiki/Alec
4002,9.7,SSR,Earth,Aletheia,Permanent,-,Sabre,Katana,Human,-,Attack,1360,9200,Chikao Ohtsuka /Akio Ōtsuka,https://gbf.wiki/Aletheia
4567,9.4,SSR,Dark,Aletheia (Dark),Permanent,-,Sabre,Katana,Human,-,Attack,1240,9800,Akio Ōtsuka,https://gbf.wiki/Aletheia_(Dark)
4158,9.6,SSR,Earth,Alexiel,Grand,-,Sabre,Katana,Primal,-,Defense,1960,7000,Aya Hirano,https://gbf.wiki/Alexiel
4232,9.6,SSR,Earth,Alexiel (Summer),Summer,-,Sabre,Katana,Primal,-,Special,1240,9000,Aya Hirano,https://gbf.wiki/Alexiel_(Summer)
2053,4.5,R,Water,Alistair,Permanent,-,Staff,-,Harvin,-,Special,750,4240,Touko Aoyama,https://gbf.wiki/Alistair
4083,9.0,SSR,Fire,Aliza,Permanent,-,Melee,-,Draph,-,Attack,1400,9830,Natsumi Takamori,https://gbf.wiki/Aliza
3015,7.0,SR,Fire,Aliza (Event),Permanent,-,Melee,-,Draph,-,Attack,840,6300,Natsumi Takamori,https://gbf.wiki/Aliza_(Event)
4474,9.7,SSR,Wind,Aliza (Summer),Summer,-,Melee,-,Draph,-,Attack,1268,11260,Natsumi Takamori,https://gbf.wiki/Aliza_(Summer)
3242,7.5,SR,Water,Aliza (Water),Permanent,-,Melee,-,Draph,-,Attack,810,6490,Natsumi Takamori,https://gbf.wiki/Aliza_(Water)
4431,9.0,SSR,Wind,Alliah,Permanent,-,Sabre,-,Erune,-,Special,1000,11000,Ai Kayano,https://gbf.wiki/Alliah
3139,7.0,SR,Earth,Almeida,Permanent,-,Axe,-,Draph,-,Attack,1100,7800,Shizuka Ishigami,https://gbf.wiki/Almeida
3250,7.5,SR,Earth,Almeida (Summer),Summer,-,Axe,-,Draph,-,Attack,1050,8050,Shizuka Ishigami,https://gbf.wiki/Almeida_(Summer)
4001,9.3,SSR,Water,Altair,Permanent,-,Staff,-,Human,-,Balanced,1600,8000,Daisuke Ono,https://gbf.wiki/Altair
4373,9.3,SSR,Fire,Altair (Holiday),Holiday,-,Staff,-,Human,-,Balanced,1650,7750,Daisuke Ono,https://gbf.wiki/Altair_(Holiday)
4444,9.5,SSR,Earth,Amelia,Permanent,-,Sabre,-,Human,-,Balanced,1800,7000,Miyuki Sawashiro,https://gbf.wiki/Amelia
4528,9.5,SSR,Wind,Ami,4saints,-,Gun,-,Erune,-,Attack,1125,8775,Ikumi Hasegawa,https://gbf.wiki/Ami
4051,9.0,SSR,Light,Amira,Permanent,-,Melee,-,Other,-,Special,1470,8650,Risa Shimizu,https://gbf.wiki/Amira
3065,7.0,SR,Light,Amira (Promo),Permanent,-,Melee,-,Other,-,Attack,1200,7000,Risa Shimizu,https://gbf.wiki/Amira_(Promo)
4287,9.5,SSR,Dark,Amira (Summer),Summer,-,Melee,-,Other,-,Balanced,1960,6750,Risa Shimizu,https://gbf.wiki/Amira_(Summer)
3160,7.0,SR,Water,Anastasia,Tie-In / Collab,-,Sabre,-,Human,-,Attack,860,5700,Sumire Uesaka,https://gbf.wiki/Anastasia
4422,9.5,SSR,Fire,Anderson,Permanent,-,Spear,Axe,Human,-,Defense,2100,7400,Hōchū Ōtsuka,https://gbf.wiki/Anderson
4071,9.6,SSR,Wind,Andira,Zodiac,-,Staff,Melee,Erune,-,Balanced,1400,7560,Aya Uchida,https://gbf.wiki/Andira
3170,7.0,SR,Wind,Andira (Event),Zodiac,-,Staff,-,Erune,-,Balanced,880,4600,Aya Uchida,https://gbf.wiki/Andira_(Event)
4330,9.6,SSR,Water,Andira (Summer),Zodiac,Summer,Staff,Melee,Erune,-,Balanced,1600,6400,Aya Uchida,https://gbf.wiki/Andira_(Summer)
3012,7.0,SR,Water,Ange,Permanent,-,Sabre,-,Human,-,Balanced,1250,6250,Sanae Kobayashi,https://gbf.wiki/Ange
3042,6.0,SR,Dark,Ange (Halloween),Halloween,-,Sabre,-,Human,-,Attack,1000,7500,Sanae Kobayashi,https://gbf.wiki/Ange_(Halloween)
4027,9.5,SSR,Fire,Anila,Zodiac,-,Spear,Melee,Draph,-,Balanced,1715,8815,Aoi Yūki,https://gbf.wiki/Anila
3110,6.5,SR,Fire,Anila (Event),Zodiac,-,Spear,-,Draph,-,Special,845,5760,Aoi Yūki,https://gbf.wiki/Anila_(Event)
4288,9.6,SSR,Wind,Anila (Summer),Zodiac,Summer,Spear,Melee,Draph,-,Special,1400,8990,Aoi Yūki,https://gbf.wiki/Anila_(Summer)
4479,9.7,SSR,Water,Anila (Yukata),Zodiac,Yukata,Spear,Melee,Draph,-,Attack,1550,8500,Aoi Yūki,https://gbf.wiki/Anila_(Yukata)
2008,4.5,R,Fire,Anna,Permanent,-,Staff,-,Human,-,Attack,640,4800,Yuka Inokuchi,https://gbf.wiki/Anna
3095,6.0,SR,Fire,Anna (SR),Permanent,-,Staff,-,Human,-,Attack,1000,7500,Yuka Inokuchi,https://gbf.wiki/Anna_(SR)
